longitude,latitude,distance_from_green_street_m,green_percentage,crime_score,split,grid_row,grid_col,block_id
-88.21526182934323,40.11960374445579,1058.2127594568055,15.0,3.9211092,train,386,601,152
-88.18054757423754,40.11506003443648,3349.8139631852464,0.0,1.4472816,train,436,897,177
-88.17565133518399,40.15260936627889,5970.400588233675,0.0,0.0,train,19,938,18
-88.19986131031926,40.07626687477447,4163.062514793277,0.0,0.0,train,867,733,354
-88.23084973364006,40.12934531246526,2100.86570072147,0.0,0.0768416,train,278,468,109
-88.27946513906605,40.077141806712724,4849.955155779881,0.0,0.0,train,858,54,341
-88.20674747376837,40.0929362375555,2241.113372422516,0.0,0.031500116,train,682,674,273
-88.23339589740073,40.073148450555806,4132.189255920898,1.0,0.0,train,902,447,368
-88.17101597158552,40.07830149836751,5469.121083389846,0.0,0.0,train,844,979,339
-88.25970701332692,40.13459085943257,3086.0159275585124,0.0,0.0,train,220,222,84
-88.25378983426661,40.07703695963695,3811.650398836829,3.5000000000000004,0.0,train,859,273,345
-88.23955607778147,40.11188059557681,179.41934725773325,16.25,62.432636,train,472,394,187
-88.17013673535688,40.15188123114143,6214.935119740769,0.0,0.0,train,27,985,19
-88.26231684600052,40.10730359902727,1735.7504407401166,5.0,0.0,train,523,200,204
-88.20328055963766,40.1276965150092,2342.1132718250983,66.25,0.15981613,train,296,703,114
-88.20795853822416,40.13589732932634,2971.4239301770644,0.0,0.0,train,205,663,93
-88.2185236909311,40.13320642204236,2508.782121983698,95.75,0.41504467,train,235,573,91
-88.25595628406175,40.13098592783894,2582.884582907199,0.0,0.0,train,260,254,105
-88.19254889328488,40.154342317483675,5367.303442884372,0.0,0.0,train,0,794,15
-88.17116141111578,40.06641337930469,6405.335597710667,0.0,0.0,train,976,978,399
-88.22268051541802,40.10231907320364,915.2574668845565,4.0,1.831777,train,578,538,230
-88.23426416840199,40.12115261744867,1198.1809322360764,53.0,0.0,train,369,439,148
-88.18964231019812,40.14118971132671,4237.781024368548,0.0,0.0,train,146,819,56
-88.24310479037892,40.08936775104915,2315.7328348403216,0.0,0.4803623,train,722,364,287
-88.20748535689698,40.13796824367925,3202.0659954473003,0.0,0.0,train,182,667,73
-88.17952632435177,40.099748055835406,3608.7869236036004,3.5000000000000004,0.0,train,606,906,258
-88.18470599711739,40.14469589752354,4802.595870929978,0.0,0.0,train,107,861,57
-88.24262259726564,40.0992742771473,1215.0769757202117,0.0,3.805643,train,612,368,247
-88.17890633582608,40.11460754578845,3481.53945055837,0.0,0.018349739,train,441,911,178
-88.17512048599212,40.128472028472785,4264.247921362812,0.0,0.0,train,287,943,118
-88.25148730580382,40.13962881888252,3358.239999180968,17.75,0.0,train,164,292,65
-88.278367020765,40.130548421886736,3813.398517874774,0.0,0.0,train,265,63,101
-88.2763854692373,40.11487662064123,2950.414388654438,5.25,2.210959,train,439,80,161
-88.27237291736043,40.14198330957838,4359.653831554856,39.5,0.0,train,138,114,42
-88.24318056973435,40.12079965190843,1177.5784187668894,0.0,0.33068392,train,373,363,147
-88.19150397604118,40.1488472706737,4865.448423558375,0.0,0.0,train,61,803,36
-88.2025431286715,40.083925284497326,3294.878092808629,18.75,0.0,train,782,710,314
-88.2087932346003,40.12860319638513,2192.1834873584894,33.0,0.0,train,286,656,113
-88.21486335765542,40.07880495174123,3554.0238724037845,0.0,0.0,train,839,605,332
